problem,stage,instance,config_id,seed,status,legal,formal_audit_match,W,H,area,aspect_ratio,HPWL,code_hash,config_hash,data_hash,layout_path
Q2,n100 开发实例，P2-ON,n100,P2-ON,1102,success,True,True,454.3414464915126,454.3414464915126,206426.15000000002,1.0,245513.0,5182e532feca7ba4337692b112b06f181d6f79ee85596eacf83c9109b14fb709,53cc3b06b1f09685c2b904c24fe7e462cb8e2ab5f94334409e1229dad3f0fb17,6be0918f672ac3bbdf8300aaeddedf4f348a2b1a1ea74f5975cc084ba0b2ec13,outputs/q2/_runtime/v2_n100_repaired_fix2/P2-ON/n100/P2-ON/seed_1102/layout.json
Q2,n200 正式选型，P1,n200,P1,2210,timeout,True,True,449.5001668520269,449.5001668520269,202050.40000000002,1.0,487309.5,815f545fff15ed9b3822f4d2050e450631daf16e7f46fde4df41151e8f8de838,62c4fc0857968603f5af8a4add05d7825ccbb79cfdfbde340b920a03183d787c,475e63eefda4a1592adaddb9596e92595f6ef6d5404ae0fd1e826d367bd056a7,outputs/q2/_runtime/v3_n200/n200/P1/seed_2210/layout.json
Q2,n300 留出验证，P1,n300,P1,3317,success,True,True,560.4868419508169,560.4868419508169,314145.50000000006,1.0,758199.0,815f545fff15ed9b3822f4d2050e450631daf16e7f46fde4df41151e8f8de838,399ba4abadcac00256ce03ee7a8bf717214fb3e802e86c792db4b420f70c03f5,d7ad31e667df750871ff48b49954f63ac10381a333b010a703350543e285d180,outputs/q2/_runtime/v3_n300_holdout/n300/P1/seed_3317/layout.json
