instance,problem,config_id,candidate,adaptive_constraints,hypergraph_init,seed,code_hash,config_hash,max_evaluations,time_limit,restarts,dead_space_ratio_target,rho_target,outline_side,placement_width,placement_height,boundary_overflow,status,legal,W,H,area,module_area,deadspace,dead_space_ratio,rho,HPWL,first_feasible_evaluation,first_feasible_time,runtime,evaluations,proposals,accepted,restarts_completed,formal_audit_match,error,layout_path,log_path
n100,Q2,Q2-BT,Q2-BT,True,False,2101,fac6f6f1cd9dc87cfcf4b3a2aa7efd2f72b589c68f28562029218338dd395f4e,e7a4ed8f0358f0babe8dcd6f79518d5d169d8e46d74423ff47a7c21fb1dd6582,30000,60.0,4,0.15,0.13043478260869565,454.3414464915126,452.0,454.0,0.0,success,True,454.3414464915126,454.3414464915126,206426.15000000002,179501.0,26925.150000000023,0.15000000000000013,0.13043478260869576,256709.5,1,0.0019513000006554648,46.92009870000038,30000,29596,4400,4,True,,outputs/q2/_runtime/v2_n100_p1_current/n100/Q2-BT/seed_2101/layout.json,outputs/q2/_runtime/v2_n100_p1_current/n100/Q2-BT/seed_2101/events.jsonl
n100,Q2,Q2-BT,Q2-BT,True,False,2102,fac6f6f1cd9dc87cfcf4b3a2aa7efd2f72b589c68f28562029218338dd395f4e,e7a4ed8f0358f0babe8dcd6f79518d5d169d8e46d74423ff47a7c21fb1dd6582,30000,60.0,4,0.15,0.13043478260869565,454.3414464915126,454.0,454.0,0.0,success,True,454.3414464915126,454.3414464915126,206426.15000000002,179501.0,26925.150000000023,0.15000000000000013,0.13043478260869576,269503.0,1,0.0019440000032773241,50.73032150000654,30000,29596,4262,4,True,,outputs/q2/_runtime/v2_n100_p1_current/n100/Q2-BT/seed_2102/layout.json,outputs/q2/_runtime/v2_n100_p1_current/n100/Q2-BT/seed_2102/events.jsonl
n100,Q2,Q2-BT,Q2-BT,True,False,2103,fac6f6f1cd9dc87cfcf4b3a2aa7efd2f72b589c68f28562029218338dd395f4e,e7a4ed8f0358f0babe8dcd6f79518d5d169d8e46d74423ff47a7c21fb1dd6582,30000,60.0,4,0.15,0.13043478260869565,454.3414464915126,453.0,454.0,0.0,success,True,454.3414464915126,454.3414464915126,206426.15000000002,179501.0,26925.150000000023,0.15000000000000013,0.13043478260869576,258548.0,1,0.0020949999961885624,47.954791700001806,30000,29596,4192,4,True,,outputs/q2/_runtime/v2_n100_p1_current/n100/Q2-BT/seed_2103/layout.json,outputs/q2/_runtime/v2_n100_p1_current/n100/Q2-BT/seed_2103/events.jsonl
n100,Q2,Q2-BT,Q2-BT,True,False,2104,fac6f6f1cd9dc87cfcf4b3a2aa7efd2f72b589c68f28562029218338dd395f4e,e7a4ed8f0358f0babe8dcd6f79518d5d169d8e46d74423ff47a7c21fb1dd6582,30000,60.0,4,0.15,0.13043478260869565,454.3414464915126,454.0,451.0,0.0,success,True,454.3414464915126,454.3414464915126,206426.15000000002,179501.0,26925.150000000023,0.15000000000000013,0.13043478260869576,276867.0,1,0.0019229000026825815,47.77422160000424,30000,29596,3939,4,True,,outputs/q2/_runtime/v2_n100_p1_current/n100/Q2-BT/seed_2104/layout.json,outputs/q2/_runtime/v2_n100_p1_current/n100/Q2-BT/seed_2104/events.jsonl
n100,Q2,Q2-BT,Q2-BT,True,False,2105,fac6f6f1cd9dc87cfcf4b3a2aa7efd2f72b589c68f28562029218338dd395f4e,e7a4ed8f0358f0babe8dcd6f79518d5d169d8e46d74423ff47a7c21fb1dd6582,30000,60.0,4,0.15,0.13043478260869565,454.3414464915126,452.0,454.0,0.0,success,True,454.3414464915126,454.3414464915126,206426.15000000002,179501.0,26925.150000000023,0.15000000000000013,0.13043478260869576,267260.5,1,0.0019350000002305023,47.587540000000445,30000,29596,4367,4,True,,outputs/q2/_runtime/v2_n100_p1_current/n100/Q2-BT/seed_2105/layout.json,outputs/q2/_runtime/v2_n100_p1_current/n100/Q2-BT/seed_2105/events.jsonl
n100,Q2,Q2-BT,Q2-BT,True,False,2106,fac6f6f1cd9dc87cfcf4b3a2aa7efd2f72b589c68f28562029218338dd395f4e,e7a4ed8f0358f0babe8dcd6f79518d5d169d8e46d74423ff47a7c21fb1dd6582,30000,60.0,4,0.15,0.13043478260869565,454.3414464915126,453.0,452.0,0.0,success,True,454.3414464915126,454.3414464915126,206426.15000000002,179501.0,26925.150000000023,0.15000000000000013,0.13043478260869576,263450.0,1,0.0019753000015043654,47.84608990000561,30000,29596,4242,4,True,,outputs/q2/_runtime/v2_n100_p1_current/n100/Q2-BT/seed_2106/layout.json,outputs/q2/_runtime/v2_n100_p1_current/n100/Q2-BT/seed_2106/events.jsonl
n100,Q2,Q2-BT,Q2-BT,True,False,2107,fac6f6f1cd9dc87cfcf4b3a2aa7efd2f72b589c68f28562029218338dd395f4e,e7a4ed8f0358f0babe8dcd6f79518d5d169d8e46d74423ff47a7c21fb1dd6582,30000,60.0,4,0.15,0.13043478260869565,454.3414464915126,450.0,452.0,0.0,success,True,454.3414464915126,454.3414464915126,206426.15000000002,179501.0,26925.150000000023,0.15000000000000013,0.13043478260869576,263137.0,1,0.002103200000419747,56.81717159999971,30000,29596,4328,4,True,,outputs/q2/_runtime/v2_n100_p1_current/n100/Q2-BT/seed_2107/layout.json,outputs/q2/_runtime/v2_n100_p1_current/n100/Q2-BT/seed_2107/events.jsonl
n100,Q2,Q2-BT,Q2-BT,True,False,2108,fac6f6f1cd9dc87cfcf4b3a2aa7efd2f72b589c68f28562029218338dd395f4e,e7a4ed8f0358f0babe8dcd6f79518d5d169d8e46d74423ff47a7c21fb1dd6582,30000,60.0,4,0.15,0.13043478260869565,454.3414464915126,454.0,454.0,0.0,timeout,True,454.3414464915126,454.3414464915126,206426.15000000002,179501.0,26925.150000000023,0.15000000000000013,0.13043478260869576,256205.5,1,0.00301690000196686,60.00223270000424,26086,25682,3839,4,True,,outputs/q2/_runtime/v2_n100_p1_current/n100/Q2-BT/seed_2108/layout.json,outputs/q2/_runtime/v2_n100_p1_current/n100/Q2-BT/seed_2108/events.jsonl
n100,Q2,Q2-BT,Q2-BT,True,False,2109,fac6f6f1cd9dc87cfcf4b3a2aa7efd2f72b589c68f28562029218338dd395f4e,e7a4ed8f0358f0babe8dcd6f79518d5d169d8e46d74423ff47a7c21fb1dd6582,30000,60.0,4,0.15,0.13043478260869565,454.3414464915126,453.0,452.0,0.0,timeout,True,454.3414464915126,454.3414464915126,206426.15000000002,179501.0,26925.150000000023,0.15000000000000013,0.13043478260869576,265090.5,1,0.0035392999998293817,60.00130469999567,24633,24229,3527,4,True,,outputs/q2/_runtime/v2_n100_p1_current/n100/Q2-BT/seed_2109/layout.json,outputs/q2/_runtime/v2_n100_p1_current/n100/Q2-BT/seed_2109/events.jsonl
n100,Q2,Q2-BT,Q2-BT,True,False,2110,fac6f6f1cd9dc87cfcf4b3a2aa7efd2f72b589c68f28562029218338dd395f4e,e7a4ed8f0358f0babe8dcd6f79518d5d169d8e46d74423ff47a7c21fb1dd6582,30000,60.0,4,0.15,0.13043478260869565,454.3414464915126,452.0,452.0,0.0,timeout,True,454.3414464915126,454.3414464915126,206426.15000000002,179501.0,26925.150000000023,0.15000000000000013,0.13043478260869576,257996.0,1,0.0022944000011193566,60.00115840000217,25834,25430,3951,4,True,,outputs/q2/_runtime/v2_n100_p1_current/n100/Q2-BT/seed_2110/layout.json,outputs/q2/_runtime/v2_n100_p1_current/n100/Q2-BT/seed_2110/events.jsonl
