problem,instance,config_id,seed,status,legal,formal_audit_match,area,aspect_ratio,HPWL,first_feasible_time,evaluations,runtime_seconds,evaluations_per_second,layout_path
Q2,n200,P0,2201,timeout,True,True,202050.40000000002,1.0,542867.5,0.02327480004169047,7879,180.01327740005217,43.768993675339395,outputs/q2/_runtime/v3_n200/n200/P0/seed_2201/layout.json
Q2,n200,P0,2202,timeout,True,True,202050.40000000002,1.0,546343.0,0.022130199940875173,7920,180.01693349983543,43.99586108940824,outputs/q2/_runtime/v3_n200/n200/P0/seed_2202/layout.json
Q2,n200,P0,2203,timeout,True,True,202050.40000000002,1.0,541908.0,0.024868600070476532,7870,180.0205851001665,43.71722264773775,outputs/q2/_runtime/v3_n200/n200/P0/seed_2203/layout.json
Q2,n200,P0,2204,timeout,True,True,202050.40000000002,1.0,548789.5,0.03921379987150431,7859,180.00181629997678,43.66067055069496,outputs/q2/_runtime/v3_n200/n200/P0/seed_2204/layout.json
Q2,n200,P0,2205,timeout,True,True,202050.40000000002,1.0,541502.5,0.029164199950173497,7875,180.00868170009926,43.74788996632965,outputs/q2/_runtime/v3_n200/n200/P0/seed_2205/layout.json
Q2,n200,P0,2206,timeout,True,True,202050.40000000002,1.0,548601.0,0.024063499877229333,7794,180.0109264999628,43.2973717292745,outputs/q2/_runtime/v3_n200/n200/P0/seed_2206/layout.json
Q2,n200,P0,2207,timeout,True,True,202050.40000000002,1.0,542835.0,0.027500599855557084,7857,180.00187220005319,43.64954599620925,outputs/q2/_runtime/v3_n200/n200/P0/seed_2207/layout.json
Q2,n200,P0,2208,timeout,True,True,202050.40000000002,1.0,542861.0,0.03488459996879101,7843,180.0165917999111,43.56820625021895,outputs/q2/_runtime/v3_n200/n200/P0/seed_2208/layout.json
Q2,n200,P0,2209,timeout,True,True,202050.40000000002,1.0,546791.5,0.02342409989796579,7780,180.0072383999359,43.22048418250036,outputs/q2/_runtime/v3_n200/n200/P0/seed_2209/layout.json
Q2,n200,P0,2210,timeout,True,True,202050.40000000002,1.0,536183.5,0.022950700018554926,7896,180.0193344000727,43.861955307822825,outputs/q2/_runtime/v3_n200/n200/P0/seed_2210/layout.json
Q2,n200,P0,2211,timeout,True,True,202050.40000000002,1.0,545573.0,0.03794010006822646,7877,180.01340529997833,43.75785229368664,outputs/q2/_runtime/v3_n200/n200/P0/seed_2211/layout.json
Q2,n200,P0,2212,timeout,True,True,202050.40000000002,1.0,545750.0,0.022892799926921725,7862,180.00312760006636,43.67701886529388,outputs/q2/_runtime/v3_n200/n200/P0/seed_2212/layout.json
Q2,n200,P0,2213,timeout,True,True,202050.40000000002,1.0,546416.5,0.022835100069642067,7841,180.00803619995713,43.55916638793856,outputs/q2/_runtime/v3_n200/n200/P0/seed_2213/layout.json
Q2,n200,P0,2214,timeout,True,True,202050.40000000002,1.0,538315.0,0.022043499862775207,7808,180.00307639990933,43.37703641605057,outputs/q2/_runtime/v3_n200/n200/P0/seed_2214/layout.json
Q2,n200,P0,2215,timeout,True,True,202050.40000000002,1.0,553106.5,0.024364199955016375,7766,180.01215819991194,43.14153042582542,outputs/q2/_runtime/v3_n200/n200/P0/seed_2215/layout.json
Q2,n200,P0,2216,timeout,True,True,202050.40000000002,1.0,541458.5,0.021614299854263663,7857,180.0135049999226,43.64672528321349,outputs/q2/_runtime/v3_n200/n200/P0/seed_2216/layout.json
Q2,n200,P0,2217,timeout,True,True,202050.40000000002,1.0,542970.0,0.022247400134801865,7884,180.00651150010526,43.79841559229033,outputs/q2/_runtime/v3_n200/n200/P0/seed_2217/layout.json
Q2,n200,P0,2218,timeout,True,True,202050.40000000002,1.0,537503.5,0.021981099853292108,7847,180.00565479998477,43.5930749437804,outputs/q2/_runtime/v3_n200/n200/P0/seed_2218/layout.json
Q2,n200,P0,2219,timeout,True,True,202050.40000000002,1.0,544614.0,0.029642400098964572,7871,180.000385500025,43.727684127648196,outputs/q2/_runtime/v3_n200/n200/P0/seed_2219/layout.json
Q2,n200,P0,2220,timeout,True,True,202050.40000000002,1.0,552001.0,0.02782610012218356,7919,180.00675430009142,43.992793663720754,outputs/q2/_runtime/v3_n200/n200/P0/seed_2220/layout.json
Q2,n200,P1,2201,timeout,True,True,202050.40000000002,1.0,495106.0,0.007817700039595366,24863,180.00351239996962,138.12508249702464,outputs/q2/_runtime/v3_n200/n200/P1/seed_2201/layout.json
Q2,n200,P1,2202,timeout,True,True,202050.40000000002,1.0,518536.5,0.007896200055256486,24801,180.00251650018618,137.78140707257472,outputs/q2/_runtime/v3_n200/n200/P1/seed_2202/layout.json
Q2,n200,P1,2203,timeout,True,True,202050.40000000002,1.0,513966.0,0.00782310008071363,24847,180.0072741000913,138.03331073267665,outputs/q2/_runtime/v3_n200/n200/P1/seed_2203/layout.json
Q2,n200,P1,2204,timeout,True,True,202050.40000000002,1.0,502559.5,0.0077587999403476715,24798,180.00241199997254,137.7648206180914,outputs/q2/_runtime/v3_n200/n200/P1/seed_2204/layout.json
Q2,n200,P1,2205,timeout,True,True,202050.40000000002,1.0,501249.5,0.009985500015318394,25422,180.00362229999155,141.2304912266268,outputs/q2/_runtime/v3_n200/n200/P1/seed_2205/layout.json
Q2,n200,P1,2206,timeout,True,True,202050.40000000002,1.0,488061.5,0.015021499944850802,25174,180.00472630001605,139.85188343356157,outputs/q2/_runtime/v3_n200/n200/P1/seed_2206/layout.json
Q2,n200,P1,2207,timeout,True,True,202050.40000000002,1.0,512224.0,0.01087619992904365,25345,180.00516349985264,140.80151650772368,outputs/q2/_runtime/v3_n200/n200/P1/seed_2207/layout.json
Q2,n200,P1,2208,timeout,True,True,202050.40000000002,1.0,502813.0,0.008794400142505765,25327,180.00193509995006,140.7040429089644,outputs/q2/_runtime/v3_n200/n200/P1/seed_2208/layout.json
Q2,n200,P1,2209,timeout,True,True,202050.40000000002,1.0,498511.5,0.008306199917569757,24502,180.00532749993727,136.1181935018481,outputs/q2/_runtime/v3_n200/n200/P1/seed_2209/layout.json
Q2,n200,P1,2210,timeout,True,True,202050.40000000002,1.0,487309.5,0.007971000159159303,24421,180.0034973002039,135.66958623737995,outputs/q2/_runtime/v3_n200/n200/P1/seed_2210/layout.json
Q2,n200,P1,2211,timeout,True,True,202050.40000000002,1.0,502403.0,0.007973299827426672,24768,180.00611459999345,137.59532588678462,outputs/q2/_runtime/v3_n200/n200/P1/seed_2211/layout.json
Q2,n200,P1,2212,timeout,True,True,202050.40000000002,1.0,503521.5,0.008002999937161803,24591,180.00439150002785,136.6133336807852,outputs/q2/_runtime/v3_n200/n200/P1/seed_2212/layout.json
Q2,n200,P1,2213,timeout,True,True,202050.40000000002,1.0,519752.0,0.008069199975579977,23926,180.00012610014528,132.92212910277894,outputs/q2/_runtime/v3_n200/n200/P1/seed_2213/layout.json
Q2,n200,P1,2214,timeout,True,True,202050.40000000002,1.0,521899.0,0.007824299857020378,24124,180.00110249989666,134.02140134121595,outputs/q2/_runtime/v3_n200/n200/P1/seed_2214/layout.json
Q2,n200,P1,2215,timeout,True,True,202050.40000000002,1.0,516056.5,0.015458199894055724,24008,180.00592549983412,133.37338720009038,outputs/q2/_runtime/v3_n200/n200/P1/seed_2215/layout.json
Q2,n200,P1,2216,timeout,True,True,202050.40000000002,1.0,505299.5,0.007930199848487973,23973,180.00155419996008,133.1821833791995,outputs/q2/_runtime/v3_n200/n200/P1/seed_2216/layout.json
