config_id,candidate,adaptive_constraints,hypergraph_init,sa_schedule,initialization_mode,runs,legal_runs,audit_matches,full_evaluation_runs,status_success,status_timeout,status_no_feasible,status_crash,best_HPWL,median_HPWL,q1_HPWL,q3_HPWL,iqr_HPWL,median_first_feasible_evaluation,median_first_feasible_time,median_evaluations,median_runtime,median_improvement_from_initial,best_layout_path
A2-BASE-RANDOM,Q2-BT,False,False,fast,random,10,0,10,0,0,0,10,0,,,,,,,,30000.0,77.51504460000433,-381626.0,
P1-RANDOM,Q2-BT,True,False,fast,random,10,1,10,1,1,0,9,0,291940.5,291940.5,291940.5,291940.5,0.0,6439,16.44211190007627,30000.0,76.2697834999999,-378986.5,outputs/q2/_runtime/v2_n100_repaired_fix2/P1-RANDOM/n100/P1-RANDOM/seed_1104/layout.json
