instance,problem,config_id,candidate,adaptive_constraints,hypergraph_init,seed,code_hash,config_hash,max_evaluations,time_limit,restarts,dead_space_ratio_target,rho_target,outline_side,placement_width,placement_height,boundary_overflow,status,legal,W,H,area,module_area,deadspace,dead_space_ratio,rho,HPWL,first_feasible_evaluation,first_feasible_time,runtime,evaluations,proposals,accepted,restarts_completed,formal_audit_match,error,layout_path,log_path
n100,Q2,Q2-HG,Q2-HG,True,True,2101,fac6f6f1cd9dc87cfcf4b3a2aa7efd2f72b589c68f28562029218338dd395f4e,b03744d4896eff4d84c23eab3f3f757787d334822a1049579e034cd80626c360,30000,60.0,4,0.15,0.13043478260869565,454.3414464915126,453.0,451.0,0.0,success,True,454.3414464915126,454.3414464915126,206426.15000000002,179501.0,26925.150000000023,0.15000000000000013,0.13043478260869576,241764.5,1,0.01370419999875594,47.030166600001394,30000,29596,2437,4,True,,outputs/q2/_runtime/v2_n100_p2_on_current/n100/Q2-HG/seed_2101/layout.json,outputs/q2/_runtime/v2_n100_p2_on_current/n100/Q2-HG/seed_2101/events.jsonl
n100,Q2,Q2-HG,Q2-HG,True,True,2102,fac6f6f1cd9dc87cfcf4b3a2aa7efd2f72b589c68f28562029218338dd395f4e,b03744d4896eff4d84c23eab3f3f757787d334822a1049579e034cd80626c360,30000,60.0,4,0.15,0.13043478260869565,454.3414464915126,454.0,453.0,0.0,success,True,454.3414464915126,454.3414464915126,206426.15000000002,179501.0,26925.150000000023,0.15000000000000013,0.13043478260869576,244156.0,1,0.01383959999657236,51.745151299997815,30000,29596,2711,4,True,,outputs/q2/_runtime/v2_n100_p2_on_current/n100/Q2-HG/seed_2102/layout.json,outputs/q2/_runtime/v2_n100_p2_on_current/n100/Q2-HG/seed_2102/events.jsonl
n100,Q2,Q2-HG,Q2-HG,True,True,2103,fac6f6f1cd9dc87cfcf4b3a2aa7efd2f72b589c68f28562029218338dd395f4e,b03744d4896eff4d84c23eab3f3f757787d334822a1049579e034cd80626c360,30000,60.0,4,0.15,0.13043478260869565,454.3414464915126,454.0,448.0,0.0,success,True,454.3414464915126,454.3414464915126,206426.15000000002,179501.0,26925.150000000023,0.15000000000000013,0.13043478260869576,255957.5,1,0.02055330000439426,57.980078200002026,30000,29596,2668,4,True,,outputs/q2/_runtime/v2_n100_p2_on_current/n100/Q2-HG/seed_2103/layout.json,outputs/q2/_runtime/v2_n100_p2_on_current/n100/Q2-HG/seed_2103/events.jsonl
n100,Q2,Q2-HG,Q2-HG,True,True,2104,fac6f6f1cd9dc87cfcf4b3a2aa7efd2f72b589c68f28562029218338dd395f4e,b03744d4896eff4d84c23eab3f3f757787d334822a1049579e034cd80626c360,30000,60.0,4,0.15,0.13043478260869565,454.3414464915126,453.0,454.0,0.0,success,True,454.3414464915126,454.3414464915126,206426.15000000002,179501.0,26925.150000000023,0.15000000000000013,0.13043478260869576,259663.0,1,0.014400599997316021,52.531918299995596,30000,29596,2717,4,True,,outputs/q2/_runtime/v2_n100_p2_on_current/n100/Q2-HG/seed_2104/layout.json,outputs/q2/_runtime/v2_n100_p2_on_current/n100/Q2-HG/seed_2104/events.jsonl
n100,Q2,Q2-HG,Q2-HG,True,True,2105,fac6f6f1cd9dc87cfcf4b3a2aa7efd2f72b589c68f28562029218338dd395f4e,b03744d4896eff4d84c23eab3f3f757787d334822a1049579e034cd80626c360,30000,60.0,4,0.15,0.13043478260869565,454.3414464915126,447.0,454.0,0.0,success,True,454.3414464915126,454.3414464915126,206426.15000000002,179501.0,26925.150000000023,0.15000000000000013,0.13043478260869576,248000.0,1,0.013668999999936204,54.09130429999641,30000,29596,2857,4,True,,outputs/q2/_runtime/v2_n100_p2_on_current/n100/Q2-HG/seed_2105/layout.json,outputs/q2/_runtime/v2_n100_p2_on_current/n100/Q2-HG/seed_2105/events.jsonl
n100,Q2,Q2-HG,Q2-HG,True,True,2106,fac6f6f1cd9dc87cfcf4b3a2aa7efd2f72b589c68f28562029218338dd395f4e,b03744d4896eff4d84c23eab3f3f757787d334822a1049579e034cd80626c360,30000,60.0,4,0.15,0.13043478260869565,454.3414464915126,454.0,454.0,0.0,success,True,454.3414464915126,454.3414464915126,206426.15000000002,179501.0,26925.150000000023,0.15000000000000013,0.13043478260869576,254328.0,1,0.013952200002677273,48.097310799996194,30000,29596,2417,4,True,,outputs/q2/_runtime/v2_n100_p2_on_current/n100/Q2-HG/seed_2106/layout.json,outputs/q2/_runtime/v2_n100_p2_on_current/n100/Q2-HG/seed_2106/events.jsonl
n100,Q2,Q2-HG,Q2-HG,True,True,2107,fac6f6f1cd9dc87cfcf4b3a2aa7efd2f72b589c68f28562029218338dd395f4e,b03744d4896eff4d84c23eab3f3f757787d334822a1049579e034cd80626c360,30000,60.0,4,0.15,0.13043478260869565,454.3414464915126,453.0,454.0,0.0,success,True,454.3414464915126,454.3414464915126,206426.15000000002,179501.0,26925.150000000023,0.15000000000000013,0.13043478260869576,252740.5,1,0.013288800000736956,48.53321699999651,30000,29596,2606,4,True,,outputs/q2/_runtime/v2_n100_p2_on_current/n100/Q2-HG/seed_2107/layout.json,outputs/q2/_runtime/v2_n100_p2_on_current/n100/Q2-HG/seed_2107/events.jsonl
n100,Q2,Q2-HG,Q2-HG,True,True,2108,fac6f6f1cd9dc87cfcf4b3a2aa7efd2f72b589c68f28562029218338dd395f4e,b03744d4896eff4d84c23eab3f3f757787d334822a1049579e034cd80626c360,30000,60.0,4,0.15,0.13043478260869565,454.3414464915126,451.0,454.0,0.0,success,True,454.3414464915126,454.3414464915126,206426.15000000002,179501.0,26925.150000000023,0.15000000000000013,0.13043478260869576,247853.5,1,0.013172099999792408,58.443935000002966,30000,29596,2528,4,True,,outputs/q2/_runtime/v2_n100_p2_on_current/n100/Q2-HG/seed_2108/layout.json,outputs/q2/_runtime/v2_n100_p2_on_current/n100/Q2-HG/seed_2108/events.jsonl
n100,Q2,Q2-HG,Q2-HG,True,True,2109,fac6f6f1cd9dc87cfcf4b3a2aa7efd2f72b589c68f28562029218338dd395f4e,b03744d4896eff4d84c23eab3f3f757787d334822a1049579e034cd80626c360,30000,60.0,4,0.15,0.13043478260869565,454.3414464915126,449.0,453.0,0.0,success,True,454.3414464915126,454.3414464915126,206426.15000000002,179501.0,26925.150000000023,0.15000000000000013,0.13043478260869576,248165.5,1,0.013752099999692291,48.33032069999899,30000,29596,2432,4,True,,outputs/q2/_runtime/v2_n100_p2_on_current/n100/Q2-HG/seed_2109/layout.json,outputs/q2/_runtime/v2_n100_p2_on_current/n100/Q2-HG/seed_2109/events.jsonl
n100,Q2,Q2-HG,Q2-HG,True,True,2110,fac6f6f1cd9dc87cfcf4b3a2aa7efd2f72b589c68f28562029218338dd395f4e,b03744d4896eff4d84c23eab3f3f757787d334822a1049579e034cd80626c360,30000,60.0,4,0.15,0.13043478260869565,454.3414464915126,453.0,454.0,0.0,success,True,454.3414464915126,454.3414464915126,206426.15000000002,179501.0,26925.150000000023,0.15000000000000013,0.13043478260869576,241858.5,1,0.0149230000024545,48.34460959999706,30000,29596,2428,4,True,,outputs/q2/_runtime/v2_n100_p2_on_current/n100/Q2-HG/seed_2110/layout.json,outputs/q2/_runtime/v2_n100_p2_on_current/n100/Q2-HG/seed_2110/events.jsonl
