problem,instance,config_id,seed,status,legal,formal_audit_match,area,aspect_ratio,HPWL,first_feasible_time,evaluations,runtime_seconds,evaluations_per_second,layout_path
Q1,n200,Q1-SP,2209,timeout,True,True,230399.0,1.0041753653444676,0,,9862,180.01280880000013,54.78499038897277,outputs/q1/_runtime/v3_n200/n200/Q1-SP/seed_2209/layout.json
Q1,n200,Q1-SP,2210,timeout,True,True,221368.0,1.0063965884861408,0,,10005,180.00451280000016,55.58193983234398,outputs/q1/_runtime/v3_n200/n200/Q1-SP/seed_2210/layout.json
Q1,n200,Q1-SP,2211,timeout,True,True,226527.0,1.0298507462686568,0,,9986,180.00659749999977,55.47574443764492,outputs/q1/_runtime/v3_n200/n200/Q1-SP/seed_2211/layout.json
Q1,n200,Q1-SP,2212,timeout,True,True,228806.0,1.053648068669528,0,,9885,180.0099182999984,54.913640833534494,outputs/q1/_runtime/v3_n200/n200/Q1-SP/seed_2212/layout.json
Q1,n200,Q1-SP,2213,timeout,True,True,228536.0,1.2712264150943395,0,,9844,180.01034729999992,54.68574527882156,outputs/q1/_runtime/v3_n200/n200/Q1-SP/seed_2213/layout.json
Q1,n200,Q1-SP,2214,timeout,True,True,225450.0,1.1133333333333333,0,,9735,180.0137338000004,54.07920714991568,outputs/q1/_runtime/v3_n200/n200/Q1-SP/seed_2214/layout.json
Q1,n200,Q1-SP,2215,timeout,True,True,224555.0,1.0475161987041037,0,,9948,180.00426869999865,55.26535604874839,outputs/q1/_runtime/v3_n200/n200/Q1-SP/seed_2215/layout.json
Q1,n200,Q1-SP,2216,timeout,True,True,228690.0,1.0714285714285714,0,,9820,180.00398080000014,54.55434905581817,outputs/q1/_runtime/v3_n200/n200/Q1-SP/seed_2216/layout.json
Q1,n200,Q1-SP,2217,timeout,True,True,223076.0,1.1843317972350231,0,,9918,180.00888060000034,55.09728168377922,outputs/q1/_runtime/v3_n200/n200/Q1-SP/seed_2217/layout.json
Q1,n200,Q1-SP,2218,timeout,True,True,222310.0,1.0063829787234042,0,,9857,180.00464030000148,54.75969943648124,outputs/q1/_runtime/v3_n200/n200/Q1-SP/seed_2218/layout.json
Q1,n200,Q1-SP,2219,timeout,True,True,229000.0,1.091703056768559,0,,9954,180.01509389999956,55.29536320731839,outputs/q1/_runtime/v3_n200/n200/Q1-SP/seed_2219/layout.json
Q1,n200,Q1-SP,2220,timeout,True,True,227824.0,1.0581896551724137,0,,9877,180.01404860000002,54.867939901441666,outputs/q1/_runtime/v3_n200/n200/Q1-SP/seed_2220/layout.json
Q1,n200,Q1-BT,2201,timeout,True,True,196224.0,3.9107142857142856,0,,67792,180.0017598000013,376.61854014829197,outputs/q1/_runtime/v3_n200/n200/Q1-BT/seed_2201/layout.json
Q1,n200,Q1-BT,2202,timeout,True,True,197200.0,4.93,0,,69604,180.00078250000115,386.6872078736633,outputs/q1/_runtime/v3_n200/n200/Q1-BT/seed_2202/layout.json
Q1,n200,Q1-BT,2203,timeout,True,True,196560.0,3.58974358974359,0,,67519,180.0004620999989,375.1045925787121,outputs/q1/_runtime/v3_n200/n200/Q1-BT/seed_2203/layout.json
Q1,n200,Q1-BT,2204,timeout,True,True,198790.0,4.684466019417476,0,,68778,180.00189369999862,382.09598013801633,outputs/q1/_runtime/v3_n200/n200/Q1-BT/seed_2204/layout.json
Q1,n200,Q1-BT,2205,timeout,True,True,198875.0,4.3023255813953485,0,,65210,180.0020702999991,362.2736110274634,outputs/q1/_runtime/v3_n200/n200/Q1-BT/seed_2205/layout.json
Q1,n200,Q1-BT,2206,timeout,True,True,199584.0,4.277777777777778,0,,65232,180.00293370000145,362.3940935802619,outputs/q1/_runtime/v3_n200/n200/Q1-BT/seed_2206/layout.json
Q1,n200,Q1-BT,2207,timeout,True,True,197925.0,5.205128205128205,0,,66701,180.00186639999993,370.55726884396364,outputs/q1/_runtime/v3_n200/n200/Q1-BT/seed_2207/layout.json
Q1,n200,Q1-BT,2208,timeout,True,True,197290.0,4.151376146788991,0,,64776,180.00204989999838,359.8625684317864,outputs/q1/_runtime/v3_n200/n200/Q1-BT/seed_2208/layout.json
