config_id,seed,p1_area,candidate_area,area_delta,p1_aspect_ratio,candidate_aspect_ratio,aspect_delta,p1_legal,candidate_legal
P2,1101,197220.0,440728.0,243508.0,2.4280701754385965,3.4775280898876404,1.049457914449044,True,True
P2,1102,194964.0,404460.0,209496.0,3.653679653679654,4.076190476190476,0.42251082251082206,True,True
P2,1103,196824.0,593146.0,396322.0,2.5467625899280577,6.015923566878981,3.4691609769509233,True,True
P2,1104,192027.0,473613.0,281586.0,3.0,2.974937343358396,-0.025062656641603898,True,True
P2,1105,194565.0,505494.0,310929.0,2.992156862745098,5.730639730639731,2.738482867894633,True,True
P2,1106,191970.0,461304.0,269334.0,3.251028806584362,6.930232558139535,3.6792037515551725,True,True
P2,1107,190557.0,456393.0,265836.0,2.4480286738351253,4.7799352750809065,2.331906601245781,True,True
P2,1108,202560.0,407550.0,204990.0,3.5166666666666666,5.017543859649122,1.5008771929824558,True,True
P2,1109,193523.0,429756.0,236233.0,3.33195020746888,3.4293785310734464,0.09742832360456655,True,True
P2,1110,198288.0,362894.0,164606.0,2.1176470588235294,3.5,1.3823529411764706,True,True
P2-dedup-only,1101,197220.0,192642.0,-4578.0,2.4280701754385965,2.274914089347079,-0.15315608609151754,True,True
P2-dedup-only,1102,194964.0,198588.0,3624.0,3.653679653679654,3.8201754385964914,0.16649578491683759,True,True
P2-dedup-only,1103,196824.0,196461.0,-363.0,2.5467625899280577,2.840304182509506,0.2935415925814482,True,True
P2-dedup-only,1104,192027.0,189329.0,-2698.0,3.0,2.8223938223938223,-0.1776061776061777,True,True
P2-dedup-only,1105,194565.0,197638.0,3073.0,2.992156862745098,2.793233082706767,-0.198923780038331,True,True
P2-dedup-only,1106,191970.0,196612.0,4642.0,3.251028806584362,3.222672064777328,-0.02835674180703407,True,True
P2-dedup-only,1107,190557.0,196350.0,5793.0,2.4480286738351253,2.596363636363636,0.14833496252851086,True,True
P2-dedup-only,1108,202560.0,203202.0,642.0,3.5166666666666666,4.47887323943662,0.9622065727699534,True,True
P2-dedup-only,1109,193523.0,196826.0,3303.0,3.33195020746888,3.4747899159663866,0.14283970849750682,True,True
P2-dedup-only,1110,198288.0,195888.0,-2400.0,2.1176470588235294,2.064935064935065,-0.05271199388846437,True,True
P2-directed-only,1101,197220.0,415012.0,217792.0,2.4280701754385965,3.446685878962536,1.0186157035239396,True,True
P2-directed-only,1102,194964.0,404460.0,209496.0,3.653679653679654,4.076190476190476,0.42251082251082206,True,True
P2-directed-only,1103,196824.0,593146.0,396322.0,2.5467625899280577,6.015923566878981,3.4691609769509233,True,True
P2-directed-only,1104,192027.0,473613.0,281586.0,3.0,2.974937343358396,-0.025062656641603898,True,True
P2-directed-only,1105,194565.0,505494.0,310929.0,2.992156862745098,5.730639730639731,2.738482867894633,True,True
P2-directed-only,1106,191970.0,461304.0,269334.0,3.251028806584362,6.930232558139535,3.6792037515551725,True,True
P2-directed-only,1107,190557.0,456393.0,265836.0,2.4480286738351253,4.7799352750809065,2.331906601245781,True,True
P2-directed-only,1108,202560.0,432345.0,229785.0,3.5166666666666666,5.32280701754386,1.8061403508771932,True,True
P2-directed-only,1109,193523.0,429756.0,236233.0,3.33195020746888,3.4293785310734464,0.09742832360456655,True,True
P2-directed-only,1110,198288.0,371910.0,173622.0,2.1176470588235294,3.5869565217391304,1.469309462915601,True,True
