config_id,code_hash,config_hash,data_hash,registered_runs,discovered_runs,missing_runs,audit_match_runs,legal_rate,min_area,median_area,max_area,iqr_area,p90_area,min_aspect_ratio,median_aspect_ratio,max_aspect_ratio,iqr_aspect_ratio,p90_aspect_ratio,status_success,status_timeout,status_no_feasible,status_crash,first_feasible_status,median_first_feasible_evaluation
Q1-BT,3191e8fa3cfd8aaa7948395b9026ff11bb50871a09425b05f1d85c6a8a6a5aaa,21710a897788c7b5b1cb80917bb03da9d86b258a6531c066e2462c93a28c7dab,bed652bf55c2034b04a1c1bbe97ad617e027c11736bf069727a63baf575720ef,20,20,0,20,1.0,194555.0,199229.5,202383.0,2859.75,201168.9,3.5836909871244633,4.433394605129114,5.886486486486486,0.8536875288268311,5.300878692377544,0,20,0,0,not_recorded_protocol_deviation,
Q1-BT-D,3191e8fa3cfd8aaa7948395b9026ff11bb50871a09425b05f1d85c6a8a6a5aaa,7eadc36f5e9f024a1f3829860b7a5ed0926bff8720189300ffaea4b152e95570,bed652bf55c2034b04a1c1bbe97ad617e027c11736bf069727a63baf575720ef,20,20,0,20,1.0,394524.0,495628.0,676512.0,119118.0,627994.4,6.337209302325581,8.551946676083695,10.301801801801801,1.592821525303476,10.1226048362412,0,20,0,0,not_recorded_protocol_deviation,
Q1-BT-both,3191e8fa3cfd8aaa7948395b9026ff11bb50871a09425b05f1d85c6a8a6a5aaa,f0b3d4a9137999f51b507ddac15db33a0d9deb6af4c24c6b02a1ceb34628f8ea,bed652bf55c2034b04a1c1bbe97ad617e027c11736bf069727a63baf575720ef,20,20,0,20,1.0,394524.0,495628.0,676512.0,119118.0,627994.4,6.337209302325581,8.551946676083695,10.301801801801801,1.592821525303476,10.1226048362412,0,20,0,0,not_recorded_protocol_deviation,
Q1-BT-dedup-only,3191e8fa3cfd8aaa7948395b9026ff11bb50871a09425b05f1d85c6a8a6a5aaa,242f588a676cd70a119d01e680b053be532e4a21ecce786a6adb3f39c4d33f58,bed652bf55c2034b04a1c1bbe97ad617e027c11736bf069727a63baf575720ef,20,20,0,20,1.0,193110.0,199922.5,203308.0,2779.75,202926.9,3.4522821576763487,4.520086291692747,5.886486486486486,0.7752754096472074,5.397856558494683,0,20,0,0,not_recorded_protocol_deviation,
Q1-BT-directed-only,3191e8fa3cfd8aaa7948395b9026ff11bb50871a09425b05f1d85c6a8a6a5aaa,476976eeb4f3eb7fe333ae0406058b40d931c962dcad0df8cbe86ba5d1d28e17,bed652bf55c2034b04a1c1bbe97ad617e027c11736bf069727a63baf575720ef,20,20,0,20,1.0,394524.0,495628.0,676512.0,119118.0,627994.4,5.988372093023256,8.551946676083695,10.301801801801801,1.592821525303476,10.1226048362412,0,20,0,0,not_recorded_protocol_deviation,
Q1-G,3191e8fa3cfd8aaa7948395b9026ff11bb50871a09425b05f1d85c6a8a6a5aaa,4c11f9694e3449c03d25bc33769f3520608fc5ac417967aadb773404a6aa4412,bed652bf55c2034b04a1c1bbe97ad617e027c11736bf069727a63baf575720ef,20,20,0,20,1.0,284016.0,284016.0,284016.0,0.0,284016.0,123.27083333333333,123.27083333333333,123.27083333333333,0.0,123.27083333333333,20,0,0,0,not_recorded_protocol_deviation,
Q1-SP,3191e8fa3cfd8aaa7948395b9026ff11bb50871a09425b05f1d85c6a8a6a5aaa,23759db27eb4b66fada058141c85ff43d1d2f5334ec9f1437658df4f05602c9b,bed652bf55c2034b04a1c1bbe97ad617e027c11736bf069727a63baf575720ef,20,20,0,20,1.0,219177.0,227832.5,235296.0,4777.25,231072.4,1.0020833333333334,1.0648091133004924,1.2712264150943395,0.11932814288678095,1.1824422913408144,0,20,0,0,not_recorded_protocol_deviation,
