route,n_runs,status,legal_rate,formal_audit_match_rate,best_area,median_area,q1_area,q3_area,iqr_area,best_gap,median_gap,mean_runtime_seconds,median_runtime_seconds,iqr_runtime_seconds,total_evaluations,code_hash,config_hashes,evidence_path,optimality_note
exact,1,optimal,1,1,24,24,24,24,0,0.0,0.0,0.006014300000970252,0.006014300000970252,0,741,5f9b461b33e142f399a717c9fab309c0667da57a09af8d86efec389274550b02,ca80f5194d869afed11bf35b4457d347690c684f336ae009ee258190d2661dea,outputs/q4/_runtime/v2/exact/result.json,complete optimal integer declaration domain result
sa,10,success,1.0,1.0,24.0,28.0,25.0,28.0,3.0,0.0,0.16666666666666666,20.417123430001084,20.442997899997863,0.19099129998357967,300000,5f9b461b33e142f399a717c9fab309c0667da57a09af8d86efec389274550b02,fde027790889dfef5727d49d1ae25d3c9ccfd23720862aff603eb384d0394b7d;f545b77977fbf1d13e1fccfcd617ce78e625400c35e75e5c92219afc797b1a91;ff11fd6a9d90cfc6b889abe63648d16a1d53a8773d8e4f30aa4a4e7fbb28bb37;4ba2012976fe23a0df7b085995c4cf5346b60d6a3e1067a5c56f6224d0ccfaaa;9296646c4bc2371824c660cdfcf2ae6447ba5a07f5eb8f8eab0045d9dd61a9eb;94777e71c64ef512dce065180cbc4ca0f4e8998e6ae91d90a489050d3f02728e;419fa5eac40c5be578e29bb0c172443c14cbee9b42bbc12a82c0851a9a408968;17577594727b473cb785a2bd2dbeadc2437208da7b421ae1eaa5aed398224de1;825df2fb4a4e16520f6fa487b7cbb3c60681171eda27bb694779623ccd1654e9;31284276756e936912a91dc3d545772524d1ae9ad7d34c353876113f962bdb1d,outputs/q4/_runtime/v2/sa/seed_1101.json..seed_1110.json,SA1108 matched area 24; SA does not prove optimality
