candidate,d_best,d_robust,selected_ratio,thresholds,cold_total,warm_total,final_total,final_legal_rate,best_HPWL,median_HPWL,Tukey_Q1_HPWL,Tukey_Q3_HPWL,Tukey_IQR_HPWL,runtime_seconds,status,code_hash,config_hash,command,environment,layout_path
Q3-BIN,0.065625,0.065625,0.065625,7,70,0,10,1.0,248215.5,258206.5,251205.5,262820.5,11615.0,963.5561139999918,timeout,a3971eefa77bc2cdaecd9fa0f59e85fc37668df57d6587d2217ec3f416ae8215,ebd9648137db72f8db15cb6923d784118878de4e12618d2b52d0381158ebbca6,D:\Anaconda\envs\CA-py310\python.exe -B -m src.Q3 --instance n100 --candidate Q3-BIN --inner-candidate Q2-HG --lower-ratio 0 --upper-ratio 0.15 --precision 0.005 --robust-min-success-rate 0.8 --decision-rule robust --seeds 1101-1110 --max-evaluations 30000 --time-limit 60 --restarts 4 --workers 5 --adaptive-constraints on --hypergraph-init on --continuous-compression off --final-seeds 1101-1110 --final-max-evaluations 30000 --final-time-limit 60 --final-restarts 4 --raw data/raw/附件 --runtime-root outputs/q3/_runtime/v2_n100 --table-root outputs/q3/tables --run-id v2_n100_q3_bin,"{""cpu_count"":16,""cwd"":""D:\\project\\chinamcm_2026\\2026_chinamcm"",""platform"":""Windows-10-10.0.26200-SP0"",""python"":""3.10.20 | packaged by Anaconda, Inc. | (main, Mar 11 2026, 17:42:35) [MSC v.1942 64 bit (AMD64)]""}",outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_bin/layout.json
Q3-LIN,0.065,0.065,0.065,19,190,0,10,1.0,248106.5,258206.5,250576.5,262820.5,12244.0,2409.209440599996,timeout,a3971eefa77bc2cdaecd9fa0f59e85fc37668df57d6587d2217ec3f416ae8215,6d43b5af6cd886a44776f53e8cb57a547f4c1d49d07985a39cb47672563483b1,D:\Anaconda\envs\CA-py310\python.exe -B -m src.Q3 --instance n100 --candidate Q3-LIN --inner-candidate Q2-HG --lower-ratio 0 --upper-ratio 0.15 --precision 0.005 --robust-min-success-rate 0.8 --decision-rule robust --seeds 1101-1110 --max-evaluations 30000 --time-limit 60 --restarts 4 --workers 5 --adaptive-constraints on --hypergraph-init on --continuous-compression off --final-seeds 1101-1110 --final-max-evaluations 30000 --final-time-limit 60 --final-restarts 4 --raw data/raw/附件 --runtime-root outputs/q3/_runtime/v2_n100 --table-root outputs/q3/tables --run-id v2_n100_q3_lin,"{""cpu_count"":16,""cwd"":""D:\\project\\chinamcm_2026\\2026_chinamcm"",""platform"":""Windows-10-10.0.26200-SP0"",""python"":""3.10.20 | packaged by Anaconda, Inc. | (main, Mar 11 2026, 17:42:35) [MSC v.1942 64 bit (AMD64)]""}",outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_lin/layout.json
Q3-CONT-R,0.065625,0.065625,0.065625,7,70,6,10,1.0,248106.5,258206.5,250576.5,262820.5,12244.0,1323.9317433999968,timeout,a3971eefa77bc2cdaecd9fa0f59e85fc37668df57d6587d2217ec3f416ae8215,1888f1899323904cc73aa4ff9833e78c17b354c4b234e6588590bd2fb6dfb131,D:\Anaconda\envs\CA-py310\python.exe -B -m src.Q3 --instance n100 --candidate Q3-CONT-R --inner-candidate Q2-HG --lower-ratio 0 --upper-ratio 0.15 --precision 0.005 --robust-min-success-rate 0.8 --decision-rule robust --seeds 1101-1110 --max-evaluations 30000 --time-limit 60 --restarts 4 --workers 5 --adaptive-constraints on --hypergraph-init on --continuous-compression on --final-seeds 1101-1110 --final-max-evaluations 30000 --final-time-limit 60 --final-restarts 4 --raw data/raw/附件 --runtime-root outputs/q3/_runtime/v2_n100 --table-root outputs/q3/tables --run-id v2_n100_q3_cont_r,"{""cpu_count"":16,""cwd"":""D:\\project\\chinamcm_2026\\2026_chinamcm"",""platform"":""Windows-10-10.0.26200-SP0"",""python"":""3.10.20 | packaged by Anaconda, Inc. | (main, Mar 11 2026, 17:42:35) [MSC v.1942 64 bit (AMD64)]""}",outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_cont_r/layout.json
