phase,dead_space_ratio,outline_side,cold_success_rate,robust,layout_path,seed,mode,status,legal,HPWL,runtime,evaluations,proposals,accepted,restarts_completed,first_feasible_evaluation,first_feasible_time,formal_audit_match,error
threshold,0.13,450.3733229222175,1.0,True,,1103,cold,timeout,True,246330.0,60.00017959999968,22168,21865,1731,3,1,0.023102200007997453,True,
threshold,0.13,450.3733229222175,1.0,True,,1104,cold,timeout,True,252217.0,60.00005860000965,22167,21864,1762,3,1,0.020404700000653975,True,
threshold,0.13,450.3733229222175,1.0,True,,1105,cold,timeout,True,249303.0,60.00227539999469,22180,21877,1828,3,1,0.021329899987904355,True,
threshold,0.13,450.3733229222175,1.0,True,,1106,cold,timeout,True,255047.5,60.00229589999071,22104,21801,1653,3,1,0.026926299993647262,True,
threshold,0.13,450.3733229222175,1.0,True,,1107,cold,timeout,True,254010.0,60.00242740000249,22129,21826,1613,3,1,0.026527699999860488,True,
threshold,0.13,450.3733229222175,1.0,True,,1108,cold,timeout,True,260002.5,60.00074649999442,21943,21640,1493,3,1,0.02177369999117218,True,
threshold,0.13,450.3733229222175,1.0,True,,1109,cold,timeout,True,248331.5,60.0006899,22059,21756,1614,3,1,0.028509800002211705,True,
threshold,0.13,450.3733229222175,1.0,True,,1110,cold,timeout,True,250675.5,60.00065060000634,22051,21748,1853,3,1,0.027539500006241724,True,
threshold,0.125,449.3758171063503,1.0,True,,1101,cold,timeout,True,262818.0,60.00179249999928,22005,21702,1975,3,1,0.02342480000515934,True,
threshold,0.125,449.3758171063503,1.0,True,,1102,cold,timeout,True,245673.5,60.001219700003276,21984,21681,1784,3,1,0.019966400010162033,True,
threshold,0.125,449.3758171063503,1.0,True,,1103,cold,timeout,True,250006.0,60.000634099997114,22111,21808,1759,3,1,0.022301799996057525,True,
threshold,0.125,449.3758171063503,1.0,True,,1104,cold,timeout,True,257518.0,60.0013467999961,22088,21785,1789,3,1,0.019942400002037175,True,
threshold,0.125,449.3758171063503,1.0,True,,1105,cold,timeout,True,258503.0,60.00150030000077,22171,21868,1910,3,1,0.019661800004541874,True,
threshold,0.125,449.3758171063503,1.0,True,,1106,cold,timeout,True,251888.5,60.00082719999773,22251,21948,1613,3,1,0.023873400001320988,True,
threshold,0.125,449.3758171063503,1.0,True,,1107,cold,timeout,True,255590.0,60.00046320000547,22373,22070,1491,3,1,0.026068400009535253,True,
threshold,0.125,449.3758171063503,1.0,True,,1108,cold,timeout,True,253103.5,60.00172509999538,22334,22031,1545,3,1,0.024496300000464544,True,
threshold,0.125,449.3758171063503,1.0,True,,1109,cold,timeout,True,255181.5,60.00066210000659,22068,21765,1745,3,1,0.024036200004047714,True,
threshold,0.125,449.3758171063503,1.0,True,,1110,cold,timeout,True,248843.5,60.00250620000588,22355,22052,1591,3,1,0.027228499995544553,True,
threshold,0.12,448.376092136947,1.0,True,,1101,cold,timeout,True,263194.0,60.001065400007064,21021,20718,1692,3,1,0.02076179999858141,True,
threshold,0.12,448.376092136947,1.0,True,,1102,cold,timeout,True,253279.5,60.00021559999732,21197,20894,1671,3,1,0.01967039999726694,True,
threshold,0.12,448.376092136947,1.0,True,,1103,cold,timeout,True,255345.0,60.00188950001029,21141,20838,1396,3,1,0.019414200010942295,True,
threshold,0.12,448.376092136947,1.0,True,,1104,cold,timeout,True,266925.5,60.0034200999944,21087,20784,1620,3,1,0.021348800000851043,True,
threshold,0.12,448.376092136947,1.0,True,,1105,cold,timeout,True,255145.0,60.00113899999997,21232,20929,1621,3,1,0.01943559999926947,True,
threshold,0.12,448.376092136947,1.0,True,,1106,cold,timeout,True,251200.0,60.00106609999784,21906,21603,1565,3,1,0.02433240000391379,True,
threshold,0.12,448.376092136947,1.0,True,,1107,cold,timeout,True,248184.0,60.000800900001195,21857,21554,1604,3,1,0.021369900001445785,True,
threshold,0.12,448.376092136947,1.0,True,,1108,cold,timeout,True,261100.0,60.001240400000825,21909,21606,1595,3,1,0.020837000003666617,True,
threshold,0.12,448.376092136947,1.0,True,,1109,cold,timeout,True,253414.5,60.00224170000001,22084,21781,1840,3,1,0.021756200003437698,True,
threshold,0.12,448.376092136947,1.0,True,,1110,cold,timeout,True,252390.0,60.00020880000375,21917,21614,1637,3,1,0.020515500000328757,True,
threshold,0.115,447.37413313690814,1.0,True,,1101,cold,timeout,True,253205.5,60.00240909999411,21762,21459,1791,3,1,0.023980400001164526,True,
threshold,0.115,447.37413313690814,1.0,True,,1102,cold,timeout,True,251110.0,60.00136460000067,21741,21438,1713,3,1,0.027108900001621805,True,
threshold,0.115,447.37413313690814,1.0,True,,1103,cold,timeout,True,246628.5,60.000777900000685,21919,21616,1670,3,1,0.01996520000102464,True,
threshold,0.115,447.37413313690814,1.0,True,,1104,cold,timeout,True,265495.0,60.0020433000027,21975,21672,1658,3,1,0.028174800012493506,True,
threshold,0.115,447.37413313690814,1.0,True,,1105,cold,timeout,True,250657.5,60.00087450000865,21863,21560,1757,3,1,0.0279321000125492,True,
threshold,0.115,447.37413313690814,1.0,True,,1106,cold,timeout,True,251270.0,60.00216970000474,22086,21783,1584,3,1,0.023905000009108335,True,
threshold,0.115,447.37413313690814,1.0,True,,1107,cold,timeout,True,246367.0,60.00124359999609,22136,21833,1441,3,1,0.019922699997550808,True,
threshold,0.115,447.37413313690814,1.0,True,,1108,cold,timeout,True,265877.5,60.00242399999115,22139,21836,1506,3,1,0.028179699991596863,True,
threshold,0.115,447.37413313690814,1.0,True,,1109,cold,timeout,True,248298.0,60.00211030000355,21966,21663,1914,3,1,0.02061209999374114,True,
threshold,0.115,447.37413313690814,1.0,True,,1110,cold,timeout,True,263156.0,60.00170860000071,22162,21859,1613,3,1,0.021909899995080195,True,
threshold,0.11,446.3699250621619,1.0,True,,1101,cold,timeout,True,250226.0,60.00134000000253,22205,21902,1674,3,1,0.021343100001104176,True,
threshold,0.11,446.3699250621619,1.0,True,,1102,cold,timeout,True,246947.0,60.00047199999972,22294,21991,1697,3,1,0.0237693999952171,True,
threshold,0.11,446.3699250621619,1.0,True,,1103,cold,timeout,True,256435.0,60.00052320001123,22140,21837,1477,3,1,0.02118190001056064,True,
threshold,0.11,446.3699250621619,1.0,True,,1104,cold,timeout,True,258788.0,60.00241729999834,22175,21872,1654,3,1,0.021103799997945316,True,
threshold,0.11,446.3699250621619,1.0,True,,1105,cold,timeout,True,248198.0,60.00009659999341,21984,21681,1673,3,1,0.025507799990009516,True,
threshold,0.11,446.3699250621619,1.0,True,,1106,cold,timeout,True,260650.0,60.00223990000086,22263,21960,1532,3,1,0.020533799994154833,True,
threshold,0.11,446.3699250621619,1.0,True,,1107,cold,timeout,True,242568.0,60.00184700000682,22302,21999,1540,3,1,0.023706300009507686,True,
threshold,0.11,446.3699250621619,1.0,True,,1108,cold,timeout,True,262532.5,60.00153300000238,22083,21780,1584,3,1,0.021327399997971952,True,
threshold,0.11,446.3699250621619,1.0,True,,1109,cold,timeout,True,248357.5,60.0000291000033,22194,21891,1714,3,1,0.024470800010021776,True,
threshold,0.11,446.3699250621619,1.0,True,,1110,cold,timeout,True,256617.0,60.00025889999233,22178,21875,1674,3,1,0.021817000000737607,True,
threshold,0.105,445.36345269902876,1.0,True,,1101,cold,timeout,True,264399.5,60.00270520000777,22185,21882,1612,3,1,0.020476500008953735,True,
threshold,0.105,445.36345269902876,1.0,True,,1102,cold,timeout,True,246485.5,60.00209919999179,22102,21799,1537,3,1,0.021938699996098876,True,
threshold,0.105,445.36345269902876,1.0,True,,1103,cold,timeout,True,247238.5,60.000830500008306,22268,21965,1592,3,1,0.020281300006899983,True,
threshold,0.105,445.36345269902876,1.0,True,,1104,cold,timeout,True,258559.0,60.00135510000109,22121,21818,1718,3,1,0.021289500000420958,True,
threshold,0.105,445.36345269902876,1.0,True,,1105,cold,timeout,True,264334.5,60.00097199999436,22335,22032,1835,3,1,0.019831700003123842,True,
threshold,0.105,445.36345269902876,1.0,True,,1106,cold,timeout,True,264334.5,60.00079019999248,22256,21953,1584,3,1,0.020608599996194243,True,
threshold,0.105,445.36345269902876,1.0,True,,1107,cold,timeout,True,252133.5,60.00161340000341,22216,21913,1455,3,1,0.021429700005683117,True,
threshold,0.105,445.36345269902876,1.0,True,,1108,cold,timeout,True,264334.5,60.00065849999373,22237,21934,1462,3,1,0.021430499997222796,True,
threshold,0.105,445.36345269902876,1.0,True,,1109,cold,timeout,True,251277.0,60.00127049999719,22151,21848,1863,3,1,0.020462000000406988,True,
threshold,0.105,445.36345269902876,1.0,True,,1110,cold,timeout,True,253185.5,60.00199030000658,22192,21889,1410,3,1,0.02122830000007525,True,
threshold,0.1,444.3547006615323,1.0,True,,1101,cold,timeout,True,253246.5,60.00011510000331,22314,22011,1993,3,1,0.02028559999598656,True,
threshold,0.1,444.3547006615323,1.0,True,,1102,cold,timeout,True,250411.0,60.002218199995696,22330,22027,1510,3,1,0.021878699990338646,True,
threshold,0.1,444.3547006615323,1.0,True,,1103,cold,timeout,True,244199.5,60.000674800001434,22420,22117,1478,3,1,0.019845500006340444,True,
threshold,0.1,444.3547006615323,1.0,True,,1104,cold,timeout,True,261371.0,60.00213979999535,22282,21979,1661,3,1,0.0210839999926975,True,
threshold,0.1,444.3547006615323,1.0,True,,1105,cold,timeout,True,249162.5,60.000464400000055,22470,22167,1761,3,1,0.02268690000346396,True,
threshold,0.1,444.3547006615323,1.0,True,,1106,cold,timeout,True,261697.5,60.00067080000008,22302,21999,1504,3,1,0.020118800006457604,True,
threshold,0.1,444.3547006615323,1.0,True,,1107,cold,timeout,True,238642.5,60.0018626999954,22223,21920,1694,3,1,0.02247079998778645,True,
threshold,0.1,444.3547006615323,1.0,True,,1108,cold,timeout,True,261649.5,60.002919999998994,22325,22022,1622,3,1,0.02140270000381861,True,
threshold,0.1,444.3547006615323,1.0,True,,1109,cold,timeout,True,261648.5,60.002248599994346,21971,21668,1814,3,1,0.02116780000505969,True,
threshold,0.1,444.3547006615323,1.0,True,,1110,cold,timeout,True,249628.0,60.00205090000236,22085,21782,1677,3,1,0.02074459999857936,True,
threshold,0.095,443.3436533886551,1.0,True,,1101,cold,timeout,True,258911.5,60.00235280000197,22351,22048,1752,3,1,0.02051079999364447,True,
threshold,0.095,443.3436533886551,1.0,True,,1102,cold,timeout,True,253176.0,60.00197170001047,22260,21957,1612,3,1,0.020405100003699772,True,
