phase,dead_space_ratio,outline_side,cold_success_rate,robust,layout_path,seed,mode,status,legal,HPWL,runtime,evaluations,proposals,accepted,restarts_completed,first_feasible_evaluation,first_feasible_time,formal_audit_match,error
threshold,0.145,448.5219281150031,1.0,True,,2218,cold,timeout,True,503649.5,60.00097479997203,8041,7639,938,2,1,0.1776173000689596,True,
threshold,0.145,448.5219281150031,1.0,True,,2219,cold,timeout,True,517197.5,60.00317130004987,8010,7608,900,2,1,0.18500549998134375,True,
threshold,0.145,448.5219281150031,1.0,True,,2220,cold,timeout,True,517780.0,60.00340740010142,8032,7630,887,2,1,0.2010178999044001,True,
threshold,0.14,447.5415511435782,1.0,True,,2201,cold,timeout,True,512189.0,60.0005913998466,8058,7656,852,2,1,0.19876839988864958,True,
threshold,0.14,447.5415511435782,1.0,True,,2202,cold,timeout,True,508765.0,60.003070400096476,8040,7638,899,2,1,0.20790669997222722,True,
threshold,0.14,447.5415511435782,1.0,True,,2203,cold,timeout,True,521524.5,60.00430140015669,7974,7572,1094,2,1,0.20234389998950064,True,
threshold,0.14,447.5415511435782,1.0,True,,2204,cold,timeout,True,521239.0,60.00401329994202,7992,7590,1091,2,1,0.1919734999537468,True,
threshold,0.14,447.5415511435782,1.0,True,,2205,cold,timeout,True,519786.5,60.000648899935186,7993,7591,783,2,1,0.16409829980693758,True,
threshold,0.14,447.5415511435782,1.0,True,,2206,cold,timeout,True,517003.0,60.00154939992353,8140,7738,874,2,1,0.17372189997695386,True,
threshold,0.14,447.5415511435782,1.0,True,,2207,cold,timeout,True,518518.0,60.0000166001264,7993,7591,899,2,1,0.17083620000630617,True,
threshold,0.14,447.5415511435782,1.0,True,,2208,cold,timeout,True,518915.5,60.0023151000496,8029,7627,813,2,1,0.18147660000249743,True,
threshold,0.14,447.5415511435782,1.0,True,,2209,cold,timeout,True,507904.0,60.00063159991987,7876,7474,921,2,1,0.18599499994888902,True,
threshold,0.14,447.5415511435782,1.0,True,,2210,cold,timeout,True,521687.0,60.00389220006764,7918,7516,937,2,1,0.17893730010837317,True,
threshold,0.14,447.5415511435782,1.0,True,,2211,cold,timeout,True,504851.5,60.00252500013448,7900,7498,872,2,1,0.18021510005928576,True,
threshold,0.14,447.5415511435782,1.0,True,,2212,cold,timeout,True,521196.5,60.007127400022,7918,7516,804,2,1,0.18516530003398657,True,
threshold,0.14,447.5415511435782,1.0,True,,2213,cold,timeout,True,520827.0,60.004755599889904,8018,7616,912,2,1,0.1927028999198228,True,
threshold,0.14,447.5415511435782,1.0,True,,2214,cold,timeout,True,521666.0,60.00245389994234,7896,7494,965,2,1,0.21238869987428188,True,
threshold,0.14,447.5415511435782,1.0,True,,2215,cold,timeout,True,508502.5,60.004801500122994,7930,7528,915,2,1,0.2195850999560207,True,
threshold,0.14,447.5415511435782,1.0,True,,2216,cold,timeout,True,522318.0,60.01006200001575,7835,7433,1076,2,1,0.2512481000740081,True,
threshold,0.14,447.5415511435782,1.0,True,,2217,cold,timeout,True,509014.0,60.005221699830145,7813,7411,962,2,1,0.20250679994933307,True,
threshold,0.14,447.5415511435782,1.0,True,,2218,cold,timeout,True,517109.5,60.00431609991938,7886,7484,812,2,1,0.21149279992096126,True,
threshold,0.14,447.5415511435782,1.0,True,,2219,cold,timeout,True,519379.5,60.00317279994488,7976,7574,1014,2,1,0.20301739987917244,True,
threshold,0.14,447.5415511435782,1.0,True,,2220,cold,timeout,True,520298.5,60.00270750001073,7948,7546,896,2,1,0.17871969984844327,True,
threshold,0.135,446.55902185489435,1.0,True,,2201,cold,timeout,True,517160.0,60.003371899947524,7911,7509,872,2,1,0.17432200000621378,True,
threshold,0.135,446.55902185489435,1.0,True,,2202,cold,timeout,True,516456.5,60.00042900000699,8010,7608,888,2,1,0.15956509998068213,True,
threshold,0.135,446.55902185489435,1.0,True,,2203,cold,timeout,True,518097.0,60.00275749992579,7823,7421,911,2,1,0.1781058998312801,True,
threshold,0.135,446.55902185489435,1.0,True,,2204,cold,timeout,True,508549.5,60.00014569982886,7899,7497,816,2,1,0.17189789982512593,True,
threshold,0.135,446.55902185489435,1.0,True,,2205,cold,timeout,True,519439.0,60.005757600069046,7896,7494,876,2,1,0.19805490016005933,True,
threshold,0.135,446.55902185489435,1.0,True,,2206,cold,timeout,True,519341.0,60.0034042999614,7886,7484,1067,2,1,0.1993926998693496,True,
threshold,0.135,446.55902185489435,1.0,True,,2207,cold,timeout,True,511282.5,60.00443210010417,8028,7626,847,2,1,0.22001930000260472,True,
threshold,0.135,446.55902185489435,1.0,True,,2208,cold,timeout,True,517013.5,60.00164629984647,7950,7548,850,2,1,0.16793729993514717,True,
threshold,0.135,446.55902185489435,1.0,True,,2209,cold,timeout,True,515039.0,60.006104700034484,7873,7471,837,2,1,0.16382450005039573,True,
threshold,0.135,446.55902185489435,1.0,True,,2210,cold,timeout,True,519880.5,60.004059799946845,7848,7446,869,2,1,0.24049880006350577,True,
threshold,0.135,446.55902185489435,1.0,True,,2211,cold,timeout,True,512653.5,60.001246799947694,7871,7469,812,2,1,0.20818640012294054,True,
threshold,0.135,446.55902185489435,1.0,True,,2212,cold,timeout,True,508780.0,60.00186609989032,7899,7497,856,2,1,0.20480949990451336,True,
threshold,0.135,446.55902185489435,1.0,True,,2213,cold,timeout,True,516834.0,60.003079700050876,7801,7399,733,2,1,0.1853090999647975,True,
threshold,0.135,446.55902185489435,1.0,True,,2214,cold,timeout,True,519744.0,60.00333309988491,7847,7445,952,2,1,0.16646489989943802,True,
threshold,0.135,446.55902185489435,1.0,True,,2215,cold,timeout,True,510412.5,60.00012520002201,7877,7475,926,2,1,0.19057840015739202,True,
threshold,0.135,446.55902185489435,1.0,True,,2216,cold,timeout,True,520321.5,60.003974799998105,7835,7433,818,2,1,0.19622180005535483,True,
threshold,0.135,446.55902185489435,1.0,True,,2217,cold,timeout,True,511868.0,60.00830960017629,7821,7419,898,2,1,0.22782959998585284,True,
threshold,0.135,446.55902185489435,1.0,True,,2218,cold,timeout,True,513395.0,60.00122270011343,7881,7479,877,2,1,0.16724340012297034,True,
threshold,0.135,446.55902185489435,1.0,True,,2219,cold,timeout,True,517537.5,60.00481120008044,7836,7434,814,2,1,0.19821740011684597,True,
threshold,0.135,446.55902185489435,1.0,True,,2220,cold,timeout,True,518484.0,60.00881980010308,7963,7561,1019,2,1,0.17464650003239512,True,
threshold,0.13,445.5743260108239,1.0,True,,2201,cold,timeout,True,515647.5,60.00241369986907,7973,7571,878,2,1,0.18895539990626276,True,
threshold,0.13,445.5743260108239,1.0,True,,2202,cold,timeout,True,518990.5,60.00015870016068,7995,7593,890,2,1,0.1960776001214981,True,
threshold,0.13,445.5743260108239,1.0,True,,2203,cold,timeout,True,518581.5,60.00240259990096,7896,7494,907,2,1,0.19534109998494387,True,
threshold,0.13,445.5743260108239,1.0,True,,2204,cold,timeout,True,507491.5,60.00127570005134,7962,7560,865,2,1,0.17710940004326403,True,
threshold,0.13,445.5743260108239,1.0,True,,2205,cold,timeout,True,519577.0,60.005634299945086,7917,7515,925,2,1,0.20533359982073307,True,
threshold,0.13,445.5743260108239,1.0,True,,2206,cold,timeout,True,519460.5,60.00865610013716,7892,7490,966,2,1,0.16824840009212494,True,
threshold,0.13,445.5743260108239,1.0,True,,2207,cold,timeout,True,519344.5,60.00085230008699,7973,7571,940,2,1,0.17236450011841953,True,
threshold,0.13,445.5743260108239,1.0,True,,2208,cold,timeout,True,502713.0,60.000837499974295,8049,7647,778,2,1,0.17447030008770525,True,
threshold,0.13,445.5743260108239,1.0,True,,2209,cold,timeout,True,507984.0,60.00026679993607,7945,7543,925,2,1,0.18556939996778965,True,
threshold,0.13,445.5743260108239,1.0,True,,2210,cold,timeout,True,519950.0,60.00095929997042,7829,7427,1057,2,1,0.20230519981123507,True,
threshold,0.13,445.5743260108239,1.0,True,,2211,cold,timeout,True,519934.5,60.002310199895874,7870,7468,892,2,1,0.18133029993623495,True,
threshold,0.13,445.5743260108239,1.0,True,,2212,cold,timeout,True,518160.0,60.00293169985525,7887,7485,786,2,1,0.17703959997743368,True,
threshold,0.13,445.5743260108239,1.0,True,,2213,cold,timeout,True,519157.0,60.00034359982237,7902,7500,893,2,1,0.1800239000003785,True,
threshold,0.13,445.5743260108239,1.0,True,,2214,cold,timeout,True,519312.0,60.002490299986675,7864,7462,848,2,1,0.19351199991069734,True,
threshold,0.13,445.5743260108239,1.0,True,,2215,cold,timeout,True,519236.5,60.0029041999951,7838,7436,795,2,1,0.17805450013838708,True,
threshold,0.13,445.5743260108239,1.0,True,,2216,cold,timeout,True,520556.5,60.00462230015546,7892,7490,896,2,1,0.18495060014538467,True,
threshold,0.13,445.5743260108239,1.0,True,,2217,cold,timeout,True,519076.5,60.006599199958146,7881,7479,803,2,1,0.18803919991478324,True,
threshold,0.13,445.5743260108239,1.0,True,,2218,cold,timeout,True,516336.0,60.01029919995926,7864,7462,744,2,1,0.19655039999634027,True,
threshold,0.13,445.5743260108239,1.0,True,,2219,cold,timeout,True,517182.0,60.00818740017712,7856,7454,880,2,1,0.1832125000655651,True,
threshold,0.13,445.5743260108239,1.0,True,,2220,cold,timeout,True,517481.5,60.003049299819395,7903,7501,1019,2,1,0.2186704999767244,True,
threshold,0.125,444.5874492155621,1.0,True,,2201,cold,timeout,True,506053.5,60.00326979998499,8068,7666,884,2,1,0.24371650000102818,True,
threshold,0.125,444.5874492155621,1.0,True,,2202,cold,timeout,True,515190.0,60.00251119979657,7984,7582,969,2,1,0.24703129986301064,True,
threshold,0.125,444.5874492155621,1.0,True,,2203,cold,timeout,True,517426.0,60.00187309994362,8000,7598,1096,2,1,0.22918869997374713,True,
threshold,0.125,444.5874492155621,1.0,True,,2204,cold,timeout,True,514049.0,60.00997509993613,8107,7705,770,2,1,0.23163660010322928,True,
threshold,0.125,444.5874492155621,1.0,True,,2205,cold,timeout,True,518352.5,60.0065213998314,7681,7299,938,2,1,0.19515489996410906,True,
threshold,0.125,444.5874492155621,1.0,True,,2206,cold,timeout,True,518153.0,60.004700699821115,7662,7299,985,2,1,0.22469810000620782,True,
threshold,0.125,444.5874492155621,1.0,True,,2207,cold,timeout,True,517909.5,60.00410780007951,7757,7355,895,2,1,0.187314199982211,True,
threshold,0.125,444.5874492155621,1.0,True,,2208,cold,timeout,True,504495.0,60.0080675999634,7750,7348,730,2,1,0.18989409995265305,True,
threshold,0.125,444.5874492155621,1.0,True,,2209,cold,timeout,True,515582.0,60.003695599967614,7884,7482,778,2,1,0.18156359996646643,True,
threshold,0.125,444.5874492155621,1.0,True,,2210,cold,timeout,True,518503.0,60.005554100032896,7798,7396,928,2,1,0.18847399996593595,True,
threshold,0.125,444.5874492155621,1.0,True,,2211,cold,timeout,True,518489.0,60.005037100054324,7839,7437,1121,2,1,0.19332679989747703,True,
threshold,0.125,444.5874492155621,1.0,True,,2212,cold,timeout,True,509523.0,60.00159309990704,7910,7508,766,2,1,0.19287979998625815,True,
threshold,0.125,444.5874492155621,1.0,True,,2213,cold,timeout,True,516973.0,60.00562329986133,7796,7394,875,2,1,0.18452999996952713,True,
threshold,0.125,444.5874492155621,1.0,True,,2214,cold,timeout,True,518913.0,60.0033108999487,7793,7391,789,2,1,0.21233409992419183,True,
threshold,0.125,444.5874492155621,1.0,True,,2215,cold,timeout,True,514593.0,60.0015269999858,7755,7353,760,2,1,0.20971440011635423,True,
threshold,0.125,444.5874492155621,1.0,True,,2216,cold,timeout,True,519205.5,60.00182370003313,7866,7464,1018,2,1,0.20496369991451502,True,
threshold,0.125,444.5874492155621,1.0,True,,2217,cold,timeout,True,506746.5,60.00278940005228,7953,7551,795,2,1,0.1727314000017941,True,
threshold,0.125,444.5874492155621,1.0,True,,2218,cold,timeout,True,515016.0,60.00150829995982,7964,7562,839,2,1,0.17775680008344352,True,
threshold,0.125,444.5874492155621,1.0,True,,2219,cold,timeout,True,515219.0,60.0071463000495,7959,7557,847,2,1,0.19552900013513863,True,
threshold,0.125,444.5874492155621,1.0,True,,2220,cold,timeout,True,515249.5,60.00093219988048,7980,7578,801,2,1,0.17910039983689785,True,
threshold,0.12,443.5983769131713,1.0,True,,2201,cold,timeout,True,522431.0,60.00577430007979,8013,7611,845,2,1,0.22140739997848868,True,
threshold,0.12,443.5983769131713,1.0,True,,2202,cold,timeout,True,518795.5,60.00605110009201,8016,7614,806,2,1,0.21619669999927282,True,
threshold,0.12,443.5983769131713,1.0,True,,2203,cold,timeout,True,520948.0,60.006135399919,7919,7517,1030,2,1,0.17953399987891316,True,
threshold,0.12,443.5983769131713,1.0,True,,2204,cold,timeout,True,516380.0,60.00232430011965,7983,7581,780,2,1,0.17698210012167692,True,
threshold,0.12,443.5983769131713,1.0,True,,2205,cold,timeout,True,522629.0,60.00116450013593,7955,7553,927,2,1,0.20168219995684922,True,
threshold,0.12,443.5983769131713,1.0,True,,2206,cold,timeout,True,522459.5,60.003563700011,8013,7611,849,2,1,0.23512119986116886,True,
threshold,0.12,443.5983769131713,1.0,True,,2207,cold,timeout,True,520658.5,60.00553900003433,7929,7527,876,2,1,0.1662485001143068,True,
threshold,0.12,443.5983769131713,1.0,True,,2208,cold,timeout,True,509468.5,60.006555000087246,7979,7577,757,2,1,0.17929280013777316,True,
threshold,0.12,443.5983769131713,1.0,True,,2209,cold,timeout,True,515823.0,60.00044110021554,7874,7472,878,2,1,0.17647920013405383,True,
threshold,0.12,443.5983769131713,1.0,True,,2210,cold,timeout,True,522865.5,60.00304330000654,7764,7362,795,2,1,0.19618600001558661,True,
threshold,0.12,443.5983769131713,1.0,True,,2211,cold,timeout,True,522910.0,60.00606619985774,7732,7330,979,2,1,0.22223629988729954,True,
threshold,0.12,443.5983769131713,1.0,True,,2212,cold,timeout,True,510315.0,60.0026776001323,7794,7392,796,2,1,0.2389885000884533,True,
threshold,0.12,443.5983769131713,1.0,True,,2213,cold,timeout,True,518949.0,60.00258200010285,7897,7495,816,2,1,0.19825890008360147,True,
threshold,0.12,443.5983769131713,1.0,True,,2214,cold,timeout,True,523524.5,60.00073239998892,7838,7436,838,2,1,0.17975870007649064,True,
threshold,0.12,443.5983769131713,1.0,True,,2215,cold,timeout,True,520843.5,60.01063799997792,7912,7510,879,2,1,0.1989674000069499,True,
threshold,0.12,443.5983769131713,1.0,True,,2216,cold,timeout,True,523475.0,60.00317619997077,7854,7452,925,2,1,0.17040729988366365,True,
threshold,0.12,443.5983769131713,1.0,True,,2217,cold,timeout,True,520163.5,60.00032000010833,7918,7516,796,2,1,0.2435014999937266,True,
threshold,0.12,443.5983769131713,1.0,True,,2218,cold,timeout,True,520032.5,60.00044930004515,7737,7335,817,2,1,0.23749430011957884,True,
threshold,0.12,443.5983769131713,1.0,True,,2219,cold,timeout,True,520636.5,60.00452819978818,7853,7451,780,2,1,0.2383543998003006,True,
threshold,0.12,443.5983769131713,1.0,True,,2220,cold,timeout,True,522464.5,60.00575300003402,7927,7525,896,2,1,0.19227600004523993,True,
threshold,0.115,442.6070943850765,1.0,True,,2201,cold,timeout,True,518733.0,60.00356650003232,7885,7483,824,2,1,0.1886541999410838,True,
threshold,0.115,442.6070943850765,1.0,True,,2202,cold,timeout,True,509466.0,60.00035919994116,7945,7543,863,2,1,0.195356999989599,True,
threshold,0.115,442.6070943850765,1.0,True,,2203,cold,timeout,True,518720.0,60.00611860002391,7895,7493,910,2,1,0.17730290000326931,True,
threshold,0.115,442.6070943850765,1.0,True,,2204,cold,timeout,True,518738.0,60.01027490012348,7948,7546,825,2,1,0.17284010001458228,True,
threshold,0.115,442.6070943850765,1.0,True,,2205,cold,timeout,True,518615.0,60.001245099818334,7892,7490,889,2,1,0.16770270001143217,True,
